Date,MMMclose,MMMopen,AOSclose,AOSopen,ABTclose,ABTopen
2018-01-02,235.63999938964844,235.77999877929688,61.529998779296875,61.45000076293945,58.790000915527344,58.20000076293945
2018-01-03,235.6300048828125,235.07000732421875,61.900001525878906,61.599998474121094,58.91999816894531,58.9900016784668
2018-01-04,238.7100067138672,237.0,62.189998626708984,62.0,58.81999969482422,59.5
2018-01-05,240.57000732421875,238.64999389648438,62.9900016784668,62.40999984741211,58.9900016784668,59.040000915527344
2018-01-08,239.7899932861328,239.3800048828125,63.290000915527344,62.880001068115234,58.81999969482422,58.849998474121094
2018-01-09,241.27999877929688,239.60000610351562,63.2400016784668,63.31999969482422,58.91999816894531,59.099998474121094
2018-01-10,241.13999938964844,241.0,63.40999984741211,63.119998931884766,58.83000183105469,58.75
2018-01-11,242.30999755859375,240.74000549316406,64.75,63.61000061035156,58.95000076293945,58.650001525878906
2018-01-12,244.47000122070312,243.07000732421875,65.31999969482422,64.87999725341797,58.84000015258789,58.959999084472656
2018-01-16,244.74000549316406,245.3000030517578,65.06999969482422,65.69000244140625,58.439998626708984,58.88999938964844
2018-01-17,248.11000061035156,246.85000610351562,65.58999633789062,65.47000122070312,58.9900016784668,58.7599983215332
2018-01-18,245.91000366210938,248.1300048828125,65.91000366210938,65.43000030517578,59.06999969482422,58.779998779296875
2018-01-19,248.17999267578125,246.6300048828125,67.04000091552734,66.18000030517578,59.310001373291016,59.22999954223633
2018-01-22,247.3000030517578,247.1300048828125,67.0,67.02999877929688,59.56999969482422,58.880001068115234
2018-01-23,246.30999755859375,246.91000366210938,66.80000305175781,66.88999938964844,59.22999954223633,59.52000045776367
2018-01-24,247.69000244140625,247.99000549316406,66.80000305175781,67.16000366210938,61.720001220703125,61.0
2018-01-25,252.36000061035156,250.0,67.4000015258789,67.05000305175781,63.220001220703125,63.18000030517578
2018-01-26,258.6300048828125,253.42999267578125,67.83999633789062,67.72000122070312,63.41999816894531,63.150001525878906
2018-01-29,256.010009765625,258.510009765625,66.81999969482422,67.83999633789062,63.310001373291016,63.09000015258789
2018-01-30,251.5399932861328,255.60000610351562,66.41999816894531,64.19999694824219,62.439998626708984,62.439998626708984
2018-01-31,250.5,251.49000549316406,66.77999877929688,67.16000366210938,62.15999984741211,62.65999984741211
2018-02-01,247.94000244140625,247.44000244140625,66.79000091552734,66.98999786376953,62.18000030517578,61.75
2018-02-02,245.1699981689453,246.42999267578125,64.63999938964844,66.16000366210938,61.689998626708984,62.20000076293945
2018-02-05,231.44000244140625,243.5,61.560001373291016,64.29000091552734,58.72999954223633,61.599998474121094
2018-02-06,233.6300048828125,227.50999450683594,62.31999969482422,60.29999923706055,58.86000061035156,57.91999816894531
2018-02-07,233.19000244140625,233.19000244140625,62.720001220703125,62.15999984741211,58.66999816894531,58.599998474121094
2018-02-08,222.88999938964844,233.16000366210938,60.2400016784668,62.7599983215332,56.27000045776367,58.77000045776367
2018-02-09,225.2100067138672,224.61000061035156,60.959999084472656,60.88999938964844,57.16999816894531,56.630001068115234
2018-02-12,229.19000244140625,227.49000549316406,61.97999954223633,61.58000183105469,57.40999984741211,57.70000076293945
2018-02-13,231.36000061035156,229.7100067138672,62.72999954223633,61.7599983215332,57.63999938964844,57.13999938964844
2018-02-14,232.0,229.4499969482422,64.05999755859375,62.27000045776367,58.279998779296875,57.31999969482422
2018-02-15,234.8699951171875,233.30999755859375,65.2300033569336,64.44000244140625,59.5,58.720001220703125
2018-02-16,236.6699981689453,234.97000122070312,65.54000091552734,64.9800033569336,60.16999816894531,59.439998626708984
2018-02-20,235.07000732421875,234.5399932861328,65.44000244140625,65.0999984741211,59.119998931884766,59.68000030517578
2018-02-21,232.17999267578125,234.7100067138672,65.37999725341797,65.33999633789062,58.9900016784668,59.06999969482422
2018-02-22,236.0,232.42999267578125,65.55999755859375,65.62000274658203,58.9900016784668,59.209999084472656
2018-02-23,237.02000427246094,236.85000610351562,66.41000366210938,66.16000366210938,59.709999084472656,59.220001220703125
2018-02-26,244.13999938964844,239.00999450683594,66.2300033569336,66.55999755859375,60.529998779296875,59.86000061035156
2018-02-27,240.77999877929688,244.61000061035156,65.38999938964844,66.41999816894531,60.54999923706055,60.75
2018-02-28,235.50999450683594,241.63999938964844,64.19000244140625,65.6500015258789,60.33000183105469,60.66999816894531
2018-03-01,231.33999633789062,236.14999389648438,62.060001373291016,64.19000244140625,58.790000915527344,60.15999984741211
2018-03-02,230.3699951171875,229.75,61.880001068115234,61.560001373291016,59.459999084472656,58.47999954223633
2018-03-05,232.80999755859375,230.0,62.810001373291016,61.5,60.369998931884766,58.90999984741211
2018-03-06,233.66000366210938,234.0500030517578,63.279998779296875,63.0,60.880001068115234,60.59000015258789
2018-03-07,235.57000732421875,231.22000122070312,64.0199966430664,62.47999954223633,61.290000915527344,60.27000045776367
2018-03-08,236.33999633789062,236.35000610351562,64.54000091552734,64.05999755859375,61.869998931884766,61.34000015258789
2018-03-09,241.35000610351562,238.0,66.48999786376953,65.0,63.599998474121094,62.04999923706055
2018-03-12,239.8000030517578,242.10000610351562,66.27999877929688,66.8499984741211,63.619998931884766,63.59000015258789
2018-03-13,237.57000732421875,240.89999389648438,65.87999725341797,66.5,63.20000076293945,63.88999938964844
2018-03-14,234.2899932861328,238.8000030517578,65.30000305175781,66.30999755859375,62.86000061035156,63.41999816894531
2018-03-15,235.8699951171875,235.22000122070312,65.23999786376953,65.30999755859375,62.59000015258789,63.04999923706055
