Date,HighMMM,LowMMM,HighAOS,LowAOS,High,Low
2018-01-02,237.07000732421875,232.80999755859375,61.61000061035156,61.040000915527344,59.20000076293945,57.81999969482422
2018-01-03,235.72999572753906,233.2899932861328,61.9900016784668,61.290000915527344,59.02000045776367,58.310001373291016
2018-01-04,239.44000244140625,236.47000122070312,62.400001525878906,61.81999969482422,59.599998474121094,58.7599983215332
2018-01-05,240.89999389648438,237.74000549316406,63.0,62.369998931884766,59.09000015258789,58.63999938964844
2018-01-08,240.94000244140625,239.17999267578125,63.400001525878906,62.599998474121094,58.97999954223633,58.529998779296875
2018-01-09,241.77999877929688,239.33999633789062,63.65999984741211,63.150001525878906,59.099998474121094,58.380001068115234
2018-01-10,242.57000732421875,240.02999877929688,63.70000076293945,63.0,58.90999984741211,58.290000915527344
2018-01-11,242.33999633789062,239.75,64.7699966430664,63.56999969482422,58.959999084472656,58.290000915527344
2018-01-12,246.0,242.5,65.37000274658203,64.6500015258789,59.2400016784668,58.790000915527344
2018-01-16,247.19000244140625,243.8300018310547,66.19000244140625,64.83000183105469,59.13999938964844,58.22999954223633
2018-01-17,248.52999877929688,245.8000030517578,65.76000213623047,64.98999786376953,59.099998474121094,58.630001068115234
2018-01-18,249.0,244.9199981689453,66.11000061035156,65.43000030517578,59.27000045776367,58.529998779296875
2018-01-19,248.5,245.60000610351562,67.05000305175781,65.94999694824219,59.68000030517578,58.959999084472656
2018-01-22,247.88999938964844,245.0800018310547,67.06999969482422,66.41999816894531,59.56999969482422,58.45000076293945
2018-01-23,247.25999450683594,245.1199951171875,67.19000244140625,66.37000274658203,59.56999969482422,58.97999954223633
2018-01-24,248.5399932861328,246.25,67.6500015258789,66.45999908447266,64.16000366210938,60.7400016784668
2018-01-25,254.8000030517578,247.10000610351562,67.80999755859375,66.91999816894531,64.5999984741211,62.31999969482422
2018-01-26,259.7699890136719,253.38999938964844,68.12000274658203,67.19999694824219,63.439998626708984,62.66999816894531
2018-01-29,259.3399963378906,255.97000122070312,68.38999938964844,66.77999877929688,63.470001220703125,62.849998474121094
2018-01-30,255.69000244140625,251.41000366210938,67.06999969482422,63.0,63.119998931884766,62.290000915527344
2018-01-31,253.1300048828125,249.60000610351562,67.44000244140625,66.33000183105469,62.7599983215332,61.849998474121094
2018-02-01,250.08999633789062,246.17999267578125,68.12000274658203,66.33999633789062,62.540000915527344,61.65999984741211
2018-02-02,248.75,244.8800048828125,66.4000015258789,64.62999725341797,62.41999816894531,61.63999938964844
2018-02-05,244.39999389648438,226.00999450683594,64.73999786376953,61.45000076293945,61.869998931884766,58.54999923706055
2018-02-06,234.57000732421875,226.80999755859375,62.709999084472656,59.5,59.2599983215332,57.33000183105469
2018-02-07,237.52000427246094,232.82000732421875,63.86000061035156,62.130001068115234,59.849998474121094,58.5
2018-02-08,233.30999755859375,222.64999389648438,62.83000183105469,60.220001220703125,58.83000183105469,56.220001220703125
2018-02-09,226.9600067138672,218.17999267578125,61.5099983215332,58.709999084472656,57.689998626708984,55.58000183105469
2018-02-12,230.3800048828125,226.10000610351562,62.529998779296875,60.9900016784668,57.97999954223633,56.880001068115234
2018-02-13,231.97000122070312,228.92999267578125,62.88999938964844,61.41999816894531,57.790000915527344,56.810001373291016
2018-02-14,232.8699951171875,228.47000122070312,64.12999725341797,62.040000915527344,58.400001525878906,57.150001525878906
2018-02-15,234.89999389648438,230.8800048828125,65.26000213623047,63.970001220703125,59.5099983215332,58.33000183105469
2018-02-16,238.44000244140625,233.38999938964844,66.37000274658203,64.9800033569336,60.540000915527344,59.33000183105469
2018-02-20,236.6699981689453,233.91000366210938,66.06999969482422,65.06999969482422,59.869998931884766,58.84000015258789
2018-02-21,237.86000061035156,232.10000610351562,66.88999938964844,65.31999969482422,59.9900016784668,58.81999969482422
2018-02-22,237.3699951171875,232.25999450683594,66.30000305175781,65.16000366210938,59.400001525878906,58.79999923706055
2018-02-23,237.88999938964844,234.38999938964844,66.58000183105469,65.68000030517578,59.7400016784668,58.97999954223633
2018-02-26,244.86000061035156,238.50999450683594,66.6500015258789,65.7699966430664,60.59000015258789,59.72999954223633
2018-02-27,244.6699981689453,240.72000122070312,66.7699966430664,65.37999725341797,61.2400016784668,60.38999938964844
2018-02-28,242.27999877929688,235.39999389648438,65.91000366210938,64.19000244140625,61.119998931884766,60.18000030517578
2018-03-01,236.8300018310547,229.52999877929688,64.20999908447266,61.400001525878906,60.18000030517578,58.529998779296875
2018-03-02,231.27000427246094,226.3300018310547,62.18000030517578,60.72999954223633,59.529998779296875,58.43000030517578
2018-03-05,233.7100067138672,228.52999877929688,63.029998779296875,61.400001525878906,60.630001068115234,58.900001525878906
2018-03-06,235.9199981689453,230.8000030517578,63.459999084472656,62.77000045776367,61.02000045776367,60.11000061035156
2018-03-07,236.22000122070312,230.58999633789062,64.1500015258789,62.47999954223633,61.41999816894531,60.189998626708984
2018-03-08,237.69000244140625,234.1199951171875,64.80999755859375,63.84000015258789,61.95000076293945,61.29999923706055
2018-03-09,241.3699951171875,236.1699981689453,66.5999984741211,64.7300033569336,63.70000076293945,62.02000045776367
2018-03-12,243.10000610351562,239.3000030517578,66.8499984741211,66.0999984741211,63.95000076293945,63.41999816894531
2018-03-13,242.97000122070312,236.88999938964844,66.6500015258789,65.6500015258789,63.95000076293945,63.0099983215332
2018-03-14,239.32000732421875,233.85000610351562,66.41999816894531,65.1500015258789,63.619998931884766,62.72999954223633
2018-03-15,238.0800018310547,234.1999969482422,65.62999725341797,64.91999816894531,63.130001068115234,62.52000045776367
